timestamp,irrigation
1591480800,0.0
1591484400,0.0
1591488000,0.0
1591491600,0.0
1591495200,0.0
1591498800,0.0
1591502400,0.0
1591506000,0.0
1591509600,0.0
1591513200,0.0
1591516800,0.0
1591520400,0.0
1591524000,0.0
1591527600,0.0
1591531200,0.0
1591534800,0.0
1591538400,0.0
1591542000,0.0
1591545600,0.0
1591549200,0.0
1591552800,0.0
1591556400,0.0
1591560000,0.0
1591563600,0.0
1591567200,0.0
1591570800,0.0
1591574400,0.0
1591578000,0.0
1591581600,0.0
1591585200,0.0
1591588800,0.0
1591592400,0.0
1591596000,0.0
1591599600,0.0
1591603200,0.0
1591606800,0.0
1591610400,0.0
1591614000,0.0
1591617600,0.0
1591621200,0.0
1591624800,0.0
1591628400,0.0
1591632000,0.0
1591635600,0.0
1591639200,0.0
1591642800,0.0
1591646400,0.0
1591650000,0.0
1591653600,0.0
1591657200,0.0
1591660800,0.0
1591664400,0.0
1591668000,0.0
1591671600,0.0
1591675200,0.0
1591678800,0.0
1591682400,0.0
1591686000,0.0
1591689600,0.0
1591693200,0.0
1591696800,0.0
1591700400,0.0
1591704000,0.0
1591707600,0.0
1591711200,0.0
1591714800,0.0
1591718400,0.0
1591722000,0.0
1591725600,0.0
1591729200,0.0
1591732800,0.0
1591736400,0.0
1591740000,0.0
1591743600,0.0
1591747200,0.0
1591750800,0.0
1591754400,0.0
1591758000,0.0
1591761600,0.0
1591765200,0.0
1591768800,0.0
1591772400,0.0
1591776000,0.0
1591779600,0.0
1591783200,0.0
1591786800,0.0
1591790400,0.0
1591794000,0.0
1591797600,0.0
1591801200,0.0
1591804800,0.0
1591808400,0.0
1591812000,0.0
1591815600,0.0
1591819200,0.0
1591822800,0.0
1591826400,0.0
1591830000,0.0
1591833600,0.0
1591837200,0.0
1591840800,0.0
1591844400,0.0
1591848000,0.0
1591851600,0.0
1591855200,0.0
1591858800,0.0
1591862400,0.0
1591866000,0.0
1591869600,0.0
1591873200,0.0
1591876800,0.0
1591880400,0.0
1591884000,0.0
1591887600,0.0
1591891200,0.0
1591894800,0.0
1591898400,0.0
1591902000,0.0
1591905600,0.0
1591909200,0.0
1591912800,0.0
1591916400,0.0
1591920000,0.0
1591923600,0.0
1591927200,0.0
1591930800,0.0
1591934400,0.0
1591938000,0.0
1591941600,0.0
1591945200,0.0
1591948800,0.0
1591952400,0.0
1591956000,0.0
1591959600,0.0
1591963200,0.0
1591966800,0.0
1591970400,0.0
1591974000,0.0
1591977600,0.0
1591981200,0.0
1591984800,0.0
1591988400,0.0
1591992000,0.0
1591995600,0.0
1591999200,0.0
1592002800,0.0
1592006400,0.0
1592010000,0.0
1592013600,0.0
1592017200,0.0
1592020800,0.0
1592024400,0.0
1592028000,0.0
1592031600,0.0
1592035200,0.0
1592038800,0.0
1592042400,0.0
1592046000,0.0
1592049600,0.0
1592053200,0.0
1592056800,0.0
1592060400,0.0
1592064000,0.0
1592067600,0.0
1592071200,0.0
1592074800,0.0
1592078400,0.0
1592082000,0.0
1592085600,0.0
1592089200,0.0
1592092800,0.0
1592096400,0.0
1592100000,0.0
1592103600,0.0
1592107200,0.0
1592110800,0.0
1592114400,0.0
1592118000,0.0
1592121600,0.0
1592125200,0.0
1592128800,0.0
1592132400,0.0
1592136000,0.0
1592139600,0.0
1592143200,0.0
1592146800,0.0
1592150400,0.0
1592154000,0.0
1592157600,0.0
1592161200,0.0
1592164800,0.0
1592168400,0.0
1592172000,0.0
1592175600,0.0
1592179200,0.0
1592182800,0.0
1592186400,0.0
1592190000,0.0
1592193600,0.0
1592197200,0.0
1592200800,0.0
1592204400,0.0
1592208000,0.0
1592211600,0.0
1592215200,0.0
1592218800,0.0
1592222400,0.0
1592226000,0.0
1592229600,0.0
1592233200,0.0
1592236800,0.0
1592240400,0.0
1592244000,0.0
1592247600,0.0
1592251200,0.0
1592254800,0.0
1592258400,0.0
1592262000,0.0
1592265600,0.0
1592269200,0.0
1592272800,0.0
1592276400,0.0
1592280000,0.0
1592283600,0.0
1592287200,0.0
1592290800,0.0
1592294400,0.0
1592298000,0.0
1592301600,0.0
1592305200,0.0
1592308800,0.0
1592312400,0.0
1592316000,0.0
