timestamp,z60_y0_x90,z60_y0_x60,z60_y0_x30,z60_y0_x0,z40_y0_x90,z40_y0_x60,z40_y0_x30,z40_y0_x0,z20_y0_x90,z20_y0_x60,z20_y0_x30,z20_y0_x0
1591480800,-13.1754891324,-13.1754891324,-18.7877417511,-29.0913691356,-38.7129500775,-19.9385233239,-36.08124636,-79.4253480384,-22.8148074399,-27.8460021504,-75.1389106044,-139.6349203719
1591484400,-13.7032917759,-13.1754891324,-18.2122935519,-31.0069674876,-38.0431381431,-19.9385233239,-36.08124636,-77.9967747804,-23.4378762096,-28.4687081031,-72.2800895484,-126.1972999119
1591488000,-13.7032917759,-13.1754891324,-18.2122935519,-30.3844446711,-38.0431381431,-19.9385233239,-36.08124636,-77.9967747804,-23.4378762096,-27.8460021504,-72.2800895484,-124.1134970391
1591491600,-13.7032917759,-13.1754891324,-18.2122935519,-30.3844446711,-38.0431381431,-19.9385233239,-36.08124636,-77.2823984439,-24.0609000591,-27.8460021504,-72.2800895484,-123.4029920796
1591495200,-13.7032917759,-13.1754891324,-18.7877417511,-30.3844446711,-38.0431381431,-19.9385233239,-36.08124636,-79.4253480384,-22.8148074399,-27.8460021504,-72.9948845199,-127.6177795599
1591498800,-13.7032917759,-13.1754891324,-18.2122935519,-30.3844446711,-38.0431381431,-19.9385233239,-36.08124636,-77.9967747804,-23.4378762096,-28.4687081031,-72.2800895484,-126.1972999119
1591502400,-13.7032917759,-13.1754891324,-18.2122935519,-30.3844446711,-38.0431381431,-19.3631516751,-36.08124636,-77.9967747804,-23.4378762096,-27.8460021504,-72.2800895484,-124.1134970391
1591506000,-18.2122935519,-13.1754891324,-18.2122935519,-30.3844446711,-38.0431381431,-19.9385233239,-36.08124636,-77.2823984439,-24.0609000591,-27.8460021504,-72.2800895484,-123.4029920796
1591509600,-21.0412119996,-13.1754891324,-18.2122935519,-30.3844446711,-38.0431381431,-19.9385233239,-35.4590898159,-75.8534663559,-24.0609000591,-27.8460021504,-72.2800895484,-122.6924273151
1591513200,-21.0412119996,-13.1754891324,-18.2122935519,-31.0069674876,-38.0431381431,-19.9385233239,-35.4590898159,-74.4242950479,-24.0609000591,-28.4687081031,-72.2800895484,-121.9818027456
1591516800,-21.0412119996,-13.1754891324,-18.7877417511,-31.0069674876,-38.0431381431,-20.4659137116,-35.4590898159,-74.4242950479,-24.0609000591,-28.4687081031,-72.9948845199,-121.9818027456
1591520400,-21.0412119996,-13.1754891324,-18.7877417511,-31.6294453839,-38.0431381431,-20.4659137116,-35.4590898159,-74.4242950479,-25.9297020864,-28.4687081031,-72.9948845199,-121.9818027456
1591524000,-21.0412119996,-13.1754891324,-18.7877417511,-30.3844446711,-38.7129500775,-21.0412119996,-36.08124636,-75.1389106044,-25.9297020864,-29.0913691356,-75.1389106044,-128.3279296764
1591527600,-27.2232512775,-13.1754891324,-19.3631516751,-31.0069674876,-39.3827099151,-21.6164720124,-36.08124636,-76.5679623024,-25.9297020864,-29.7139852479,-77.2823984439,-134.7165894999
1591531200,-21.6164720124,-13.1754891324,-19.3631516751,-31.0069674876,-39.3827099151,-21.6164720124,-37.4211232704,-81.5201560944,-25.9297020864,-30.3844446711,-78.7110913119,-141.7621532124
1591534800,-21.0412119996,-13.7032917759,-19.3631516751,-32.25187836,-39.3827099151,-22.19169375,-38.0431381431,-83.6620411599,-25.9297020864,-31.6294453839,-81.5201560944,-151.6349128311
1591538400,-21.0412119996,-13.1754891324,-19.9385233239,-32.8742664159,-40.0045831164,-22.19169375,-38.7129500775,-85.8033879804,-25.9297020864,-31.6294453839,-82.2341775879,-155.1749383836
1591542000,-21.0412119996,-18.2122935519,-20.4659137116,-37.4211232704,-40.6742424816,-22.8148074399,-42.0134049216,-90.7977707199,-25.9297020864,-32.8742664159,-83.6620411599,-159.3738288975
1591545600,-21.0412119996,-18.2122935519,-21.0412119996,-38.0431381431,-41.34384975,-23.4378762096,-42.6829079964,-92.8897836231,-25.9297020864,-34.166775,-86.5170506439,-165.73891359
1591549200,-21.0412119996,-15.95808624,-21.0412119996,-38.7129500775,-42.0134049216,-23.4378762096,-42.6829079964,-95.7416991951,-25.9297020864,-34.7890248399,-87.2306535024,-168.5191701711
1591552800,-21.0412119996,-21.0412119996,-21.6164720124,-39.3827099151,-42.6829079964,-24.0609000591,-43.3523589744,-98.5926578871,-26.6004554844,-35.4590898159,-87.9441965559,-170.6390828796
1591556400,-21.0412119996,-15.4304210151,-21.6164720124,-40.0045831164,-42.6829079964,-24.0609000591,-43.3523589744,-100.0177784031,-26.6004554844,-36.7512108636,-89.3711032479,-172.0520589936
1591560000,-21.0412119996,-13.1754891324,-21.6164720124,-40.0045831164,-43.3523589744,-24.0609000591,-43.3523589744,-100.7302489536,-26.6004554844,-37.4211232704,-89.3711032479,-172.0520589936
1591563600,-21.0412119996,-13.1754891324,-21.6164720124,-40.0045831164,-42.0134049216,-23.4378762096,-43.3523589744,-101.4426596991,-27.2232512775,-38.7129500775,-89.3711032479,-170.6390828796
1591567200,-18.2122935519,-13.1754891324,-21.6164720124,-40.0045831164,-42.6829079964,-23.4378762096,-42.6829079964,-97.8800079216,-27.2232512775,-39.3827099151,-89.3711032479,-169.2258675456
1591570800,-13.7032917759,-13.1754891324,-21.6164720124,-40.0045831164,-42.6829079964,-23.4378762096,-42.6829079964,-96.4545285756,-27.2232512775,-42.0134049216,-87.9441965559,-153.7591075776
1591574400,-13.7032917759,-13.1754891324,-21.6164720124,-39.3827099151,-42.6829079964,-23.4378762096,-42.6829079964,-96.4545285756,-28.4687081031,-42.6829079964,-87.9441965559,-152.3430375516
1591578000,-13.7032917759,-13.1754891324,-21.6164720124,-39.3827099151,-42.6829079964,-23.4378762096,-42.6829079964,-95.0288100096,-28.4687081031,-42.6829079964,-87.9441965559,-150.9267283056
1591581600,-13.7032917759,-13.1754891324,-21.0412119996,-39.3827099151,-42.6829079964,-23.4378762096,-42.6829079964,-97.8800079216,-29.0913691356,-42.0134049216,-87.2306535024,-155.1749383836
1591585200,-13.7032917759,-13.1754891324,-21.0412119996,-38.7129500775,-42.6829079964,-23.4378762096,-42.6829079964,-96.4545285756,-29.7139852479,-42.0134049216,-87.9441965559,-153.7591075776
1591588800,-13.1754891324,-13.1754891324,-21.0412119996,-38.7129500775,-42.6829079964,-23.4378762096,-42.6829079964,-96.4545285756,-30.3844446711,-42.6829079964,-87.9441965559,-152.3430375516
1591592400,-21.0412119996,-13.1754891324,-21.0412119996,-38.7129500775,-42.6829079964,-23.4378762096,-42.6829079964,-95.0288100096,-31.0069674876,-42.6829079964,-87.9441965559,-150.9267283056
1591596000,-21.0412119996,-15.95808624,-21.0412119996,-38.7129500775,-42.6829079964,-23.4378762096,-42.0134049216,-94.3158610191,-32.25187836,-42.6829079964,-87.9441965559,-150.9267283056
1591599600,-21.0412119996,-15.95808624,-21.6164720124,-39.3827099151,-42.6829079964,-23.4378762096,-42.0134049216,-93.6028522236,-32.8742664159,-43.3523589744,-87.9441965559,-149.5101798396
1591603200,-21.0412119996,-18.2122935519,-21.6164720124,-39.3827099151,-42.0134049216,-23.4378762096,-42.0134049216,-93.6028522236,-32.8742664159,-43.3523589744,-87.9441965559,-149.5101798396
1591606800,-21.0412119996,-21.0412119996,-22.19169375,-40.6742424816,-42.0134049216,-23.4378762096,-42.6829079964,-92.8897836231,-33.4966095516,-43.3523589744,-87.9441965559,-149.5101798396
1591610400,-21.0412119996,-13.7032917759,-22.19169375,-40.6742424816,-42.0134049216,-23.4378762096,-42.6829079964,-93.6028522236,-34.166775,-44.0695700679,-89.3711032479,-153.0511024671
1591614000,-21.0412119996,-13.1754891324,-22.19169375,-41.34384975,-42.0134049216,-23.4378762096,-43.3523589744,-94.3158610191,-34.166775,-44.0695700679,-90.7977707199,-157.9587077775
1591617600,-18.2122935519,-13.1754891324,-22.19169375,-41.34384975,-42.0134049216,-24.0609000591,-44.0695700679,-100.0177784031,-32.25187836,-44.7389131311,-91.4634670071,-164.32486896
1591621200,-12.0238080924,-13.1754891324,-22.19169375,-41.34384975,-42.0134049216,-24.0609000591,-44.7389131311,-101.4426596991,-13.1754891324,-46.12524375,-93.6028522236,-174.1710746271
1591624800,-12.59966775,-13.1754891324,-22.19169375,-41.34384975,-42.0134049216,-24.0609000591,-44.7389131311,-102.81981756,-13.1754891324,-46.12524375,-93.6028522236,-167.8595319975
1591628400,-12.59966775,-13.1754891324,-22.19169375,-39.3827099151,-42.6829079964,-24.6838789884,-44.7389131311,-102.81981756,-13.7032917759,-46.12524375,-92.8897836231,-155.8827640791
1591632000,-12.59966775,-13.1754891324,-22.19169375,-38.0431381431,-42.6829079964,-24.6838789884,-44.7389131311,-101.4426596991,-15.95808624,-27.8460021504,-90.7977707199,-70.1353458039
