timestamp,wind_speed
1464732000,4.7
1464735600,5.1
1464739200,4.3
1464742800,3.6
1464746400,3.5
1464750000,3.0
1464753600,2.7
1464757200,3.2
1464760800,4.3
1464764400,4.6
1464768000,3.4
1464771600,2.2
1464775200,2.0
1464778800,1.8
1464782400,1.3
1464786000,3.4
1464789600,2.1
1464793200,2.2
1464796800,2.2
1464800400,2.8
1464804000,2.4
1464807600,2.6
1464811200,4.3
1464814800,4.4
1464818400,5.2
1464822000,5.3
1464825600,4.5
1464829200,5.1
1464832800,5.1
1464836400,3.7
1464840000,1.8
1464843600,4.1
1464847200,4.2
1464850800,1.9
1464854400,1.2
1464858000,1.6
1464861600,1.3
1464865200,2.6
1464868800,2.8
1464872400,2.3
1464876000,2.7
1464879600,3.7
1464883200,2.3
1464886800,2.0
1464890400,2.2
1464894000,2.7
1464897600,1.2
1464901200,0.8
1464904800,0.6
1464908400,0.9
1464912000,1.2
1464915600,2.4
1464919200,2.8
1464922800,2.6
1464926400,2.6
1464930000,2.3
1464933600,1.5
1464937200,1.2
1464940800,1.5
1464944400,2.1
1464948000,1.3
1464951600,1.8
1464955200,2.2
1464958800,1.1
1464962400,2.7
1464966000,3.3
1464969600,2.9
1464973200,1.5
1464976800,0.9
1464980400,0.7
1464984000,1.9
1464987600,5.1
1464991200,5.5
1464994800,5.0
1464998400,6.4
1465002000,5.2
1465005600,2.8
1465009200,3.8
1465012800,2.3
1465016400,2.4
1465020000,1.9
1465023600,1.2
1465027200,1.0
1465030800,1.1
1465034400,1.5
1465038000,1.5
1465041600,1.1
1465045200,2.3
1465048800,3.1
1465052400,1.1
1465056000,1.2
1465059600,0.8
1465063200,1.9
1465066800,2.1
1465070400,0.7
1465074000,1.5
1465077600,2.1
1465081200,2.3
1465084800,2.5
1465088400,2.2
1465092000,2.8
1465095600,3.4
1465099200,3.2
1465102800,3.2
1465106400,2.2
1465110000,1.7
1465113600,1.5
1465117200,1.3
1465120800,1.3
1465124400,1.4
1465128000,1.6
1465131600,1.7
1465135200,1.6
1465138800,1.5
1465142400,2.5
1465146000,2.6
1465149600,3.4
1465153200,1.7
1465156800,1.4
1465160400,1.1
1465164000,1.4
1465167600,2.3
1465171200,4.2
1465174800,4.2
1465178400,2.7
1465182000,1.0
1465185600,1.9
1465189200,3.3
1465192800,2.0
1465196400,2.1
1465200000,0.9
1465203600,1.3
1465207200,1.6
1465210800,1.3
1465214400,1.9
1465218000,1.6
1465221600,1.7
1465225200,3.5
1465228800,2.5
1465232400,1.1
1465236000,1.9
1465239600,1.2
1465243200,1.1
1465246800,1.9
1465250400,2.7
1465254000,3.3
1465257600,3.1
1465261200,3.2
1465264800,3.4
1465268400,3.5
1465272000,3.4
1465275600,3.3
1465279200,2.9
1465282800,1.8
1465286400,1.5
1465290000,1.6
1465293600,2.0
1465297200,2.1
1465300800,2.2
1465304400,2.0
1465308000,2.7
1465311600,2.6
1465315200,2.6
1465318800,2.9
1465322400,2.7
1465326000,2.4
1465329600,1.6
1465333200,0.6
1465336800,1.5
1465340400,2.1
1465344000,3.2
1465347600,3.1
1465351200,4.0
1465354800,3.8
1465358400,2.2
1465362000,1.6
1465365600,2.5
1465369200,1.2
1465372800,1.0
1465376400,1.0
1465380000,1.5
1465383600,2.3
1465387200,2.4
1465390800,2.3
1465394400,5.8
1465398000,5.3
1465401600,6.3
1465405200,6.0
1465408800,4.5
1465412400,1.6
1465416000,1.3
1465419600,1.1
1465423200,0.8
1465426800,1.4
1465430400,1.8
1465434000,2.6
1465437600,0.6
1465441200,1.1
1465444800,1.0
1465448400,1.0
1465452000,1.7
1465455600,0.6
1465459200,1.1
1465462800,1.4
1465466400,2.1
1465470000,2.3
1465473600,1.8
1465477200,1.3
1465480800,1.7
1465484400,2.1
1465488000,2.3
1465491600,2.3
1465495200,1.9
1465498800,3.5
1465502400,2.4
1465506000,1.2
1465509600,1.8
1465513200,1.2
1465516800,1.2
1465520400,0.7
1465524000,2.8
1465527600,2.5
1465531200,1.1
1465534800,1.0
1465538400,1.0
1465542000,0.9
1465545600,2.0
1465549200,2.5
1465552800,2.2
1465556400,2.4
1465560000,2.2
1465563600,1.9
1465567200,1.5
1465570800,1.2
1465574400,1.6
1465578000,1.9
1465581600,2.2
1465585200,2.7
1465588800,2.2
1465592400,1.4
1465596000,1.1
1465599600,0.5
1465603200,1.2
1465606800,2.2
1465610400,1.8
1465614000,1.3
1465617600,2.9
1465621200,2.3
1465624800,0.8
1465628400,0.8
1465632000,2.5
1465635600,3.4
1465639200,4.2
1465642800,4.3
1465646400,4.7
1465650000,6.0
1465653600,6.5
1465657200,5.8
1465660800,5.1
1465664400,4.6
1465668000,5.0
1465671600,4.6
1465675200,4.1
1465678800,4.7
1465682400,3.7
1465686000,4.4
1465689600,5.2
1465693200,2.2
1465696800,1.6
1465700400,1.7
1465704000,1.4
1465707600,0.8
1465711200,1.1
1465714800,0.8
1465718400,1.4
1465722000,1.6
1465725600,2.5
1465729200,2.3
1465732800,1.3
1465736400,1.2
1465740000,0.9
1465743600,0.6
1465747200,0.8
1465750800,0.8
1465754400,1.0
1465758000,1.1
1465761600,1.3
1465765200,1.1
1465768800,1.3
1465772400,1.4
1465776000,1.8
1465779600,2.7
1465783200,3.1
1465786800,3.1
1465790400,3.0
1465794000,3.2
1465797600,2.6
1465801200,1.8
1465804800,0.9
1465808400,1.6
1465812000,2.1
1465815600,2.6
1465819200,2.8
1465822800,3.1
1465826400,1.8
1465830000,1.9
1465833600,4.2
1465837200,2.3
1465840800,4.9
1465844400,5.2
1465848000,5.3
1465851600,4.6
1465855200,2.0
1465858800,5.4
1465862400,7.2
1465866000,7.2
1465869600,7.2
1465873200,1.3
1465876800,1.8
1465880400,2.2
1465884000,3.7
1465887600,2.1
1465891200,2.2
1465894800,1.1
1465898400,1.2
1465902000,1.4
1465905600,1.2
1465909200,1.3
1465912800,1.6
1465916400,1.6
1465920000,2.5
1465923600,4.6
1465927200,4.1
1465930800,3.3
1465934400,1.9
1465938000,5.0
1465941600,5.7
1465945200,6.8
1465948800,6.2
1465952400,4.3
1465956000,3.5
1465959600,3.0
1465963200,1.3
1465966800,0.6
1465970400,0.6
1465974000,0.7
1465977600,1.0
1465981200,2.2
1465984800,4.0
1465988400,5.9
1465992000,7.1
1465995600,7.1
1465999200,5.9
1466002800,6.4
1466006400,3.4
1466010000,4.1
1466013600,2.7
1466017200,3.8
1466020800,5.1
1466024400,4.6
1466028000,2.4
1466031600,1.1
1466035200,0.6
1466038800,0.8
1466042400,1.6
1466046000,1.7
1466049600,2.3
1466053200,2.6
1466056800,2.7
1466060400,2.8
1466064000,3.2
1466067600,3.7
1466071200,4.0
1466074800,5.4
1466078400,5.6
1466082000,5.3
1466085600,5.7
1466089200,4.5
1466092800,4.6
1466096400,4.2
1466100000,4.2
1466103600,3.2
1466107200,1.9
1466110800,1.4
1466114400,0.8
1466118000,1.8
1466121600,5.2
1466125200,5.1
1466128800,5.1
1466132400,2.7
1466136000,2.4
1466139600,3.2
1466143200,2.1
1466146800,5.0
