x,y,z,value
0.90,0.0,0.6,-30.0
0.60,0.0,0.6,-30.0
0.30,0.0,0.6,-30.0
0.00,0.0,0.6,-30.0
0.90,0.0,0.4,-30.0
0.60,0.0,0.4,-30.0
0.30,0.0,0.4,-30.0
0.00,0.0,0.4,-30.0
0.90,0.0,0.2,-30.0
0.60,0.0,0.2,-30.0
0.30,0.0,0.2,-30.0
0.00,0.0,0.2,-30.0
